NUM,DIP_Pitch,DIP_Yaw,DIP_Roll,DIP_X,DIP_Y,DIP_Z,PIP_Pitch,PIP_Yaw,PIP_Roll,PIP_X,PIP_Y,PIP_Z,MCP_Pitch,MCP_Yaw,MCP_Roll,MCP_X,MCP_Y,MCP_Z
525,-0.569229,-6.06668,3.60996,-15.253,-21.424,-6.72077,-1.35021,-10.6997,1.87495,-18.92,-49.1049,-4.17151,2.07891,-16.3606,4.93813,2.16539,-47.096,0.0226193
526,-0.112012,-5.9957,3.98744,-15.3242,-21.0763,-8.30907,-1.5877,-10.7778,1.70726,-18.9388,-49.2669,-3.50092,2.0953,-16.3026,4.71501,2.23218,-47.1429,0.130191
527,-0.112012,-5.9957,3.98744,-15.3242,-21.0763,-8.30907,-1.5877,-10.7778,1.70726,-18.9388,-49.2669,-3.50092,2.0953,-16.3026,4.71501,2.23218,-47.1429,0.130191
528,-0.112012,-5.9957,3.98744,-15.3242,-21.0763,-8.30907,-1.5877,-10.7778,1.70726,-18.9388,-49.2669,-3.50092,2.0953,-16.3026,4.71501,2.23218,-47.1429,0.130191
529,-0.934772,-5.96147,3.60028,-14.9301,-21.7336,-6.10293,-0.963956,-10.8215,2.17217,-19.2741,-49.0003,-5.02623,1.73416,-16.2856,4.72856,2.48943,-47.1025,1.00077
530,-0.934772,-5.96147,3.60028,-14.9301,-21.7336,-6.10293,-0.963956,-10.8215,2.17217,-19.2741,-49.0003,-5.02623,1.73416,-16.2856,4.72856,2.48943,-47.1025,1.00077
531,-0.666255,-5.89559,3.48496,-14.8238,-21.7126,-6.1211,-1.18883,-10.737,2.04495,-19.0644,-48.9913,-4.69738,2.15031,-16.388,4.92816,2.23956,-47.0974,0.20956
532,-0.666255,-5.89559,3.48496,-14.8238,-21.7126,-6.1211,-1.18883,-10.737,2.04495,-19.0644,-48.9913,-4.69738,2.15031,-16.388,4.92816,2.23956,-47.0974,0.20956
533,-0.666255,-5.89559,3.48496,-14.8238,-21.7126,-6.1211,-1.18883,-10.737,2.04495,-19.0644,-48.9913,-4.69738,2.15031,-16.388,4.92816,2.23956,-47.0974,0.20956
534,-0.812209,-6.00299,3.80979,-15.0251,-21.6605,-6.60621,-1.10922,-10.8088,2.09993,-19.1853,-49.0591,-4.71303,1.92538,-16.3228,4.74191,2.4139,-47.1235,0.72337
535,-0.807499,-5.85961,3.56467,-14.7703,-21.6574,-6.1897,-0.915139,-10.8064,2.38271,-19.3078,-48.8863,-5.35161,2.19987,-16.3086,4.23302,2.23452,-47.1556,0.406716
536,-0.807499,-5.85961,3.56467,-14.7703,-21.6574,-6.1897,-0.915139,-10.8064,2.38271,-19.3078,-48.8863,-5.35161,2.19987,-16.3086,4.23302,2.23452,-47.1556,0.406716
537,-0.807499,-5.85961,3.56467,-14.7703,-21.6574,-6.1897,-0.915139,-10.8064,2.38271,-19.3078,-48.8863,-5.35161,2.19987,-16.3086,4.23302,2.23452,-47.1556,0.406716
538,-0.807499,-5.85961,3.56467,-14.7703,-21.6574,-6.1897,-0.915139,-10.8064,2.38271,-19.3078,-48.8863,-5.35161,2.19987,-16.3086,4.23302,2.23452,-47.1556,0.406716
539,-0.807499,-5.85961,3.56467,-14.7703,-21.6574,-6.1897,-0.915139,-10.8064,2.38271,-19.3078,-48.8863,-5.35161,2.19987,-16.3086,4.23302,2.23452,-47.1556,0.406716
540,-0.807499,-5.85961,3.56467,-14.7703,-21.6574,-6.1897,-1.09549,3.49596,2.45367,-18.061,-48.3139,-5.24086,2.38022,-30.6109,4.16206,0.987743,-47.728,0.295966
541,-0.807499,-5.85961,3.56467,-14.7703,-21.6574,-6.1897,-1.09549,3.49596,2.45367,-18.061,-48.3139,-5.24086,2.38022,-30.6109,4.16206,0.987743,-47.728,0.295966
542,-0.807499,-5.85961,3.56467,-14.7703,-21.6574,-6.1897,-1.09549,3.49596,2.45367,-18.061,-48.3139,-5.24086,2.38022,-30.6109,4.16206,0.987743,-47.728,0.295966
543,-1.7997,19.7,5.24587,-0.41591,-23.8019,-9.28153,0.254482,-21.8585,0.699498,-32.5841,-46.114,-2.50531,2.02245,-30.8161,4.23504,1.15643,-47.7834,0.652244
544,-1.7997,19.7,5.24587,-0.41591,-23.8019,-9.28153,0.254482,-21.8585,0.699498,-32.5841,-46.114,-2.50531,2.02245,-30.8161,4.23504,1.15643,-47.7834,0.652244
545,-2.02738,24.9403,5.3739,5.61232,-26.4313,-9.08311,0.298133,-26.9756,0.549037,-38.5496,-43.535,-2.56894,2.20648,-30.9393,4.25747,1.09369,-47.733,0.517453
546,-2.02738,24.9403,5.3739,5.61232,-26.4313,-9.08311,0.298133,-26.9756,0.549037,-38.5496,-43.535,-2.56894,2.20648,-30.9393,4.25747,1.09369,-47.733,0.517453
547,-2.02738,24.9403,5.3739,5.61232,-26.4313,-9.08311,0.298133,-26.9756,0.549037,-38.5496,-43.535,-2.56894,2.20648,-30.9393,4.25747,1.09369,-47.733,0.517453
548,2.33725,-26.0414,2.20965,-41.412,1.41986,-3.84777,1.52024,-32.1675,0.263331,-44.9809,-38.9608,-5.94472,1.94236,-30.838,3.87523,1.10088,-47.8238,0.664153
549,2.33725,-26.0414,2.20965,-41.412,1.41986,-3.84777,1.52024,-32.1675,0.263331,-44.9809,-38.9608,-5.94472,1.94236,-30.838,3.87523,1.10088,-47.8238,0.664153
550,2.55831,-26.2332,2.33114,-41.6243,2.14781,-4.8418,1.24282,-32.2203,0.476519,-44.8842,-39.0877,-5.59485,2.25956,-30.8743,4.07612,1.03507,-47.7486,0.428551
551,2.55831,-26.2332,2.33114,-41.6243,2.14781,-4.8418,1.24282,-32.2203,0.476519,-44.8842,-39.0877,-5.59485,2.25956,-30.8743,4.07612,1.03507,-47.7486,0.428551
552,2.55831,-26.2332,2.33114,-41.6243,2.14781,-4.8418,1.24282,-32.2203,0.476519,-44.8842,-39.0877,-5.59485,2.25956,-30.8743,4.07612,1.03507,-47.7486,0.428551
553,2.74372,-26.0099,2.3515,-41.3887,2.16728,-5.48439,1.16536,-32.3305,0.44467,-45.0861,-39.3162,-5.19389,1.84452,-30.919,4.24756,1.2407,-47.8161,0.98601
554,2.74372,-26.0099,2.3515,-41.3887,2.16728,-5.48439,1.16536,-32.3305,0.44467,-45.0861,-39.3162,-5.19389,1.84452,-30.919,4.24756,1.2407,-47.8161,0.98601
555,2.87314,-25.9303,2.05537,-41.3857,1.84253,-4.99276,1.02558,-32.4182,0.676645,-45.2044,-39.3349,-5.27295,1.82799,-30.9073,4.42701,1.32526,-47.8072,1.17472
556,2.87314,-25.9303,2.05537,-41.3857,1.84253,-4.99276,1.02558,-32.4182,0.676645,-45.2044,-39.3349,-5.27295,1.82799,-30.9073,4.42701,1.32526,-47.8072,1.17472
557,2.589,-26.1023,2.17373,-41.4697,2.12229,-4.89502,1.19351,-32.2016,0.453372,-44.8538,-39.248,-5.34811,2.16659,-30.9176,4.24194,1.07314,-47.774,0.520783
558,2.589,-26.1023,2.17373,-41.4697,2.12229,-4.89502,1.19351,-32.2016,0.453372,-44.8538,-39.248,-5.34811,2.16659,-30.9176,4.24194,1.07314,-47.774,0.520783
559,2.70115,-26.0212,2.04742,-41.4236,1.55079,-4.19118,1.01743,-32.2517,0.422854,-44.8377,-39.1787,-5.03296,2.24314,-30.9072,4.11509,0.911081,-47.7063,0.146288
560,2.70115,-26.0212,2.04742,-41.4236,1.55079,-4.19118,1.01743,-32.2517,0.422854,-44.8377,-39.1787,-5.03296,2.24314,-30.9072,4.11509,0.911081,-47.7063,0.146288
561,2.55173,-26.0764,2.20817,-41.5476,1.60802,-4.32252,1.32375,-32.2088,0.260954,-44.9244,-39.2055,-5.35106,1.94325,-30.8844,4.25802,1.16608,-47.7904,0.812957
562,2.55173,-26.0764,2.20817,-41.5476,1.60802,-4.32252,1.32375,-32.2088,0.260954,-44.9244,-39.2055,-5.35106,1.94325,-30.8844,4.25802,1.16608,-47.7904,0.812957
563,2.55173,-26.0764,2.20817,-41.5476,1.60802,-4.32252,1.32375,-32.2088,0.260954,-44.9244,-39.2055,-5.35106,1.94325,-30.8844,4.25802,1.16608,-47.7904,0.812957
564,2.77212,-25.9742,2.18571,-41.3421,1.76573,-4.84731,1.25154,-32.3123,0.655953,-45.1833,-39.1104,-5.83451,1.77858,-30.9213,4.01235,1.2772,-47.8336,1.26775
565,2.77212,-25.9742,2.18571,-41.3421,1.76573,-4.84731,1.25154,-32.3123,0.655953,-45.1833,-39.1104,-5.83451,1.77858,-30.9213,4.01235,1.2772,-47.8336,1.26775
566,2.77212,-25.9742,2.18571,-41.3421,1.76573,-4.84731,1.25154,-32.3123,0.655953,-45.1833,-39.1104,-5.83451,1.77858,-30.9213,4.01235,1.2772,-47.8336,1.26775
567,2.7271,-26.0811,2.40572,-41.3686,2.20147,-5.31789,1.2601,-32.3061,0.596225,-44.9769,-39.1033,-5.48764,2.16182,-30.792,3.61065,0.979265,-47.7636,0.396631
568,2.7271,-26.0811,2.40572,-41.3686,2.20147,-5.31789,1.2601,-32.3061,0.596225,-44.9769,-39.1033,-5.48764,2.16182,-30.792,3.61065,0.979265,-47.7636,0.396631
569,2.7271,-26.0811,2.40572,-41.3686,2.20147,-5.31789,1.2601,-32.3061,0.596225,-44.9769,-39.1033,-5.48764,2.16182,-30.792,3.61065,0.979265,-47.7636,0.396631
570,2.97223,-25.9733,2.07406,-41.3615,1.9765,-5.1739,1.13895,-32.3017,0.432937,-45.1243,-39.2051,-5.39075,1.88603,-30.8947,4.15292,1.23633,-47.8623,1.02312
571,2.77163,-25.9924,2.25157,-41.2541,2.03586,-5.19908,1.06791,-32.157,0.179641,-44.8016,-39.1454,-5.02411,2.40618,-30.9574,4.09457,0.909381,-47.7713,0.142763
572,2.77163,-25.9924,2.25157,-41.2541,2.03586,-5.19908,1.06791,-32.157,0.179641,-44.8016,-39.1454,-5.02411,2.40618,-30.9574,4.09457,0.909381,-47.7713,0.142763
573,2.77163,-25.9924,2.25157,-41.2541,2.03586,-5.19908,1.06791,-32.157,0.179641,-44.8016,-39.1454,-5.02411,2.40618,-30.9574,4.09457,0.909381,-47.7713,0.142763
574,2.56933,-26.0487,1.97841,-41.4409,1.6588,-4.00112,1.17389,-32.2366,0.567494,-44.8968,-39.139,-5.36095,2.0272,-30.854,3.7329,0.94013,-47.7502,0.393601
575,2.56933,-26.0487,1.97841,-41.4409,1.6588,-4.00112,1.17389,-32.2366,0.567494,-44.8968,-39.139,-5.36095,2.0272,-30.854,3.7329,0.94013,-47.7502,0.393601
